Codigo,Nombre
8005125553549,CienciaPlanetaTierra
8005125554188,CienciaBolasLocasDeporte
8005125554379,ArmableAvionesHelicoptero
8005125554577,CienciaAsteroidesdelEspacio
8005125554904,ArmableBuggyQuad
8005125618859,Puzzle104piezasHarryPotter_HOG
8425402271438,VIRUSEXPEVOLUCION
8425402271452,VIRUSDECKBOX
8425402835630,DELICATS
8425402835647,DESPISTADOSENLAGRANJA
8425402835654,REDPANDA
8425402874806,ILULIAQ
8425402885826,VIRUSHALLOWEEN2DA
8425402888766,REMOLACHA
8435407600478,BANG
8435407600515,ELDRITCHHORROR
8435407609846,POTIONEXPLOSION
8435407610705,MANSIONESDELALOCURA
8435407614437,POTIONEXPLOSIONQUINTOINGT
8435407619302,RAXXON
8435407619593,AZUL
8435407620001,PANDEMIC
8435407621466,SUPERMUNCHKIN
8435407622913,ARKHAMHORROR
8435407625228,GENIOSVICTORIANOS
8435407627406,LOVELETTERBLISTER
8435407628373,MARVELCHAMPIONS
8435407628755,PREGUNTASDEMIERDA
8435407630123,PANDEMICLACURA
8435407630468,PANDEMICLEGACYTEMP0
8435407630642,HANABI
8435407630819,ARKHAMHORRORMAREASTENEBROSAS
8435407631854,CRYO
8435407631939,IMAGINEFAMILY
8435407632868,NIGHTOFTHELIVINGDEAD
8435407633568,ZOMBICIDE2daEDICION
8435407635265,BRAINBOXHP
8435407635913,PRADERA
8435407636255,PATCHWORKHALLOWEEN
8435407636682,ARKHAMHORRORLCG
8435407639065,BANANAGRAMS
8435407639119,AZULJARDINDELAREINA
8435407639577,CIUDADELAS
8435407639584,MUNCHKIN
8435407639652,MUNCHKIN8CENTAUROS
8435407640986,AZULMASTERCHOCOLATIER
8435407641280,EVERGREEN
8435407641884,FORESTSHUFFLE
8435407642560,PATCHWORK10ANIVERSARIO
8435407650466,FLOWERFIELDS
8435450219054,NOVALUNA
8435450219238,MICROMACRO
8435450249785,PELOPATAPOPO
8435497630482,HANABIQUEESPECTACULO
8436017220018,LABERINTOMAGICO
8436017220056,CATANEXPNAVEGANTES
8436017220063,CATANAMP5-6
8436017220100,CATANBASE
8436017220124,CATANEXPCIUDADESCABALLEROS
8436017220131,CATANEXPMERCADERESBARBAROS
8436017220285,LAISLAPROHIBIDA
8436017220520,CATANAMPCIUDADESCABALLEROS
8436017220568,CATANJUEGODECARTAS
8436017220681,FANTASMABLITZ
8436017220780,TWILIGHTSTRUGGLE
8436017220797,GUERRADELANILLO
8436017221015,LASLEYENDASDEANDOR
8436017221107,FANTASMABLITZ2
8436017221138,POLILLATRAMPOSA
8436017221206,TUAREG
8436017221275,LAESCALERAENCANTADA
8436017221411,SENDEROSDEGLORIA
8436017221619,SOMBRASSOBRELONDRES
8436017221817,CATANAMPPIRATASEXPLORADORES
8436017221855,SUSHIGO
8436017222531,ALQUIMISTAS
8436017222579,CATANEDICIONVIAJE
8436017222593,CARCASSONNE
8436017222746,STONEAGE
8436017222944,SET
8436017223354,CODIGOSECRETO
8436017223422,KINGOFNEWYORK
8436017223880,SUSHIGOPARTY
8436017223897,KINGOFTOKIO
8436017224627,CODIGOSECRETOIMAGENES
8436017224900,CARCASSONNEPOSADASCATEDRALES
8436017224917,CARCASSONNECONSTRUCTORES
8436017225099,EXITLACABAÑAABANDONADA
8436017225204,EXITLABORATORIOSECRETO
8436017225242,EXITLATUMBRADELFARAON
8436017225532,CARCASSONNELAABADIAALCALDE
8436017225549,CARCASSONNELATORRE
8436017225648,LATORREENCANTADA
8436017225693,KINGOFTOKYOHALLOWEEN
8436017225709,COLORETTO
8436017225723,LASLEYENDASANDORESPERANZA
